"Descrição","Valor","Encargos","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Cartão","Conta","Observações"
"Gympass","69.90","0.00","08/06/2026 23:49","28/12/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/12/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/12/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Prev. Gasolina","300.00","0.00","27/11/2024 13:54","27/12/2026","-","Fixa mensal","0","0","Carro","Combustível","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/12/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  15/48","931.48","0.00","18/11/2025 20:19","25/12/2026","-","Parcelada (mensal)","15","48","Carro","Financiamento","-","Nubank",""
"Prev. mercado","1100.00","0.00","20/05/2025 00:09","24/12/2026","-","Fixa mensal","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/12/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/12/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/12/2026","-","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Nível 6 ML","19.90","0.00","04/09/2023 21:46","12/12/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"S24 Ultra  9/18","233.83","0.00","23/03/2026 13:32","12/12/2026","-","Parcelada (mensal)","9","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Pagamento pais  7/12","416.66","0.00","09/05/2026 23:07","11/12/2026","-","Parcelada (mensal)","7","12","Entrada AP","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/12/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","351.01","0.00","10/06/2024 20:42","10/12/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","719.00","0.00","10/02/2025 23:53","10/12/2026","-","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","167.98","0.00","10/06/2024 20:44","10/12/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/12/2026","-","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","111.27","0.00","07/11/2024 23:24","08/12/2026","-","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Prev. Dízimo","470.00","0.00","02/12/2024 13:58","02/12/2026","-","Fixa mensal","0","0","Igreja","Dízimo","-","Nubank",""
"Gympass","69.90","0.00","08/06/2026 23:49","28/11/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Gympass Isa","69.90","0.00","05/05/2026 19:28","28/11/2026","-","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Prev. Comida","600.00","0.00","02/12/2024 13:56","27/11/2026","-","Fixa mensal","0","0","Alimentação","Outros","-","Nubank",""
"Prev. Gasolina","300.00","0.00","27/11/2024 13:54","27/11/2026","-","Fixa mensal","0","0","Carro","Combustível","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/11/2026","-","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
