"Descrição","Valor","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Conta","Observações"
"Salário Futura","5218.57","25/03/2026","25/12/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/12/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/11/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/11/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/10/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/10/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/09/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Seguro desemprego Isa  5/5","1622.00","20/05/2026","20/09/2026","-","Parcelada (mensal)","5","5","Pagamentos","Recisão","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/09/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/08/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Seguro desemprego Isa  4/5","1622.00","20/05/2026","20/08/2026","-","Parcelada (mensal)","4","5","Pagamentos","Recisão","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/08/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/07/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Seguro desemprego Isa  3/5","1622.00","20/05/2026","20/07/2026","-","Parcelada (mensal)","3","5","Pagamentos","Recisão","Nubank",""
"13 salário pt 1","2166.66","04/06/2026","01/07/2026","-","Nenhuma","0","0","Pagamentos","Outros","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/07/2026","-","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/06/2026","-","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Seguro desemprego Isa  2/5","1622.00","20/05/2026","20/06/2026","-","Parcelada (mensal)","2","5","Pagamentos","Recisão","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/06/2026","01/06/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Receita de ajuste","19.12","25/05/2026","25/05/2026","25/05/2026","Nenhuma","0","0","Outros","Ajustes","Nubank Reserva",""
"Receita de ajuste","2.75","25/05/2026","25/05/2026","25/05/2026","Nenhuma","0","0","Outros","Ajustes","Nubank Casa",""
"Receita de ajuste","0.01","25/05/2026","25/05/2026","25/05/2026","Nenhuma","0","0","Outros","Ajustes","Nubank Carro",""
"Salário Futura","5218.57","25/03/2026","25/05/2026","25/05/2026","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Reembolso salgado Sid","26.75","21/05/2026","21/05/2026","21/05/2026","Nenhuma","0","0","Repasse","Outros","Santander",""
"Seguro desemprego Isa  1/5","1622.00","20/05/2026","20/05/2026","22/05/2026","Parcelada (mensal)","1","5","Pagamentos","Recisão","Nubank",""
"Cinema ingressos Gabriel","38.00","04/05/2026","04/05/2026","04/05/2026","Nenhuma","0","0","Repasse","Outros","Nubank",""
"Receita de ajuste","20.75","03/05/2026","03/05/2026","03/05/2026","Nenhuma","0","0","Outros","Ajustes","Nubank Reserva",""
"Receita de ajuste","3.96","03/05/2026","03/05/2026","03/05/2026","Nenhuma","0","0","Outros","Ajustes","Nubank Casa",""
"Vale Alimentação","704.00","05/05/2025","01/05/2026","04/05/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5218.57","25/03/2026","25/04/2026","24/04/2026","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Rescisão Isa FGTS","7661.54","17/04/2026","17/04/2026","15/04/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Rescisão Isa FGTS Multa","3434.11","16/04/2026","16/04/2026","16/04/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Rescisão MBM Restante dicidil","424.62","15/04/2026","15/04/2026","14/04/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Rescisão Isa","3155.31","11/04/2026","12/04/2026","12/04/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Receita de ajuste","67.06","06/04/2026","06/04/2026","06/04/2026","Nenhuma","0","0","Outros","Ajustes","Nubank",""
"Receita de ajuste","0.94","06/04/2026","06/04/2026","06/04/2026","Nenhuma","0","0","Outros","Ajustes","Pluxee",""
"Salário Isa","2119.35","07/04/2026","06/04/2026","07/04/2026","Nenhuma","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/04/2026","02/04/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Futura","5113.29","09/03/2026","25/03/2026","25/03/2026","Nenhuma","0","0","Fixa mensal","Salário","Nubank",""
"Rescisão MBM Restante","1680.01","11/03/2026","11/03/2026","11/03/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Rescisão MBM","3979.41","09/03/2026","09/03/2026","09/03/2026","Nenhuma","0","0","Pagamentos","Recisão","Nubank",""
"Vale Alimentação Futura","704.00","09/03/2026","09/03/2026","09/03/2026","Nenhuma","0","0","Benefícios","Alimentação","Pluxee",""
"Salário Isa","2364.36","08/10/2024","07/03/2026","09/03/2026","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","704.00","05/05/2025","01/03/2026","01/03/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Vale Alimentação Isa","690.00","05/05/2025","01/03/2026","01/03/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Vale combustível","180.00","05/05/2025","01/03/2026","01/03/2026","Fixa mensal","0","0","Benefícios","Transporte","Pluxee",""
"Diferença VR","88.00","25/02/2026","25/02/2026","25/02/2026","Nenhuma","0","0","Benefícios","Alimentação","Pluxee",""
"Vale","1800.01","21/02/2024","21/02/2026","20/02/2026","Fixa mensal","0","0","Fixa mensal","Vale","Nubank",""
"Empréstimo Santander Fevereiro","694.22","07/02/2026","07/02/2026","07/02/2026","Nenhuma","0","0","Outros","Outros","Nubank",""
"Salário Isa","1802.56","08/10/2024","07/02/2026","06/02/2026","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Salário","1993.00","05/02/2024","06/02/2026","06/02/2026","Fixa mensal","0","0","Fixa mensal","Salário","Nubank",""
"Vale Alimentação","660.00","05/05/2025","01/02/2026","01/02/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Vale Alimentação Isa","510.00","05/05/2025","01/02/2026","01/02/2026","Fixa mensal","0","0","Benefícios","Alimentação","Pluxee",""
"Vale combustível","180.00","05/05/2025","01/02/2026","01/02/2026","Fixa mensal","0","0","Benefícios","Transporte","Pluxee",""
"Vale","1800.00","21/02/2024","21/01/2026","20/01/2026","Fixa mensal","0","0","Fixa mensal","Vale","Nubank",""
"Coca di madre","7.00","16/01/2026","16/01/2026","16/01/2026","Nenhuma","0","0","Repasse","Outros","Nubank",""
"Whey monaro","62.85","16/01/2026","16/01/2026","16/01/2026","Nenhuma","0","0","Repasse","Outros","Nubank",""
"Empréstimo Janeiro","800.00","08/01/2026","08/01/2026","08/01/2026","Nenhuma","0","0","Outros","Outros","Nubank",""
