"Descrição","Valor","Vencimento","Recorrência","Parcela","Parcelas","▲ Origem","▼ Destino","Observações"
"Pagamento Emp. Pessoal Julho  6/12","175.00","24/12/2026","Parcelada (mensal)","6","12","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal Julho  5/12","175.00","24/11/2026","Parcelada (mensal)","5","12","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal Julho  4/12","175.00","24/10/2026","Parcelada (mensal)","4","12","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal  4/4","350.00","24/09/2026","Parcelada (mensal)","4","4","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal Julho  3/12","175.00","24/09/2026","Parcelada (mensal)","3","12","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal  3/4","350.00","24/08/2026","Parcelada (mensal)","3","4","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal Julho  2/12","175.00","24/08/2026","Parcelada (mensal)","2","12","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal  2/4","350.00","24/07/2026","Parcelada (mensal)","2","4","Nubank","Nubank Reserva",""
"Pagamento Emp. Pessoal Julho  1/12","175.00","24/07/2026","Parcelada (mensal)","1","12","Nubank","Nubank Reserva",""
"Emp. Pessoal Junho","2100.00","08/06/2026","Nenhuma","0","0","Nubank Reserva","Nubank",""
"Pagamento Emp. Pessoal  1/4","350.00","24/06/2026","Parcelada (mensal)","1","4","Nubank","Nubank Reserva",""
"Alface lanche","11.78","09/05/2026","Nenhuma","0","0","Santander","Nubank",""
"Coisas SP","139.00","02/05/2026","Nenhuma","0","0","Nubank Casa","Nubank",""
"Emp. Pessoal Maio","1400.00","11/05/2026","Nenhuma","0","0","Nubank Reserva","Nubank",""
"Refeição junho","512.58","26/05/2026","Nenhuma","0","0","Nubank","Santander",""
"Refeição maio","600.00","06/05/2026","Nenhuma","0","0","Nubank","Santander",""
"Reserva Carro Maio","222.74","22/05/2026","Nenhuma","0","0","Nubank","Nubank Carro",""
"Reserva Casa Maio","147.49","22/05/2026","Nenhuma","0","0","Nubank","Nubank Casa",""
"Reserva Maio","516.23","22/05/2026","Nenhuma","0","0","Nubank","Nubank Reserva",""
"Retirada casa","996.65","18/04/2026","Nenhuma","0","0","Nubank","Nubank Casa",""
"Retirada reserva","4482.91","18/04/2026","Nenhuma","0","0","Nubank","Nubank Reserva",""
